Age,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,Gender_Female,Gender_Male,Type of Travel_Business travel,Type of Travel_Personal Travel,Class_Business,Class_Eco,Class_Eco Plus,satisfaction
35,971,3,4,5,4,2,3,3,2,5,3,1E+24,3,1,3,373,358,4,1,1,4,4,1,4,neutral or dissatisfied
32,1492,4,4,4,3,1,4,1,1,3,1,1,1,2,1,4,4,4,1,1,4,4,1,4,satisfied
46,2915,4,5,4,5,3,4,5,1,1,1,1,4,1,3,4,4,1,4,1,4,1,4,4,satisfied
56,2556,4,4,4,4,4,4,4,3,3,5,4,4,3,4,19,18,4,1,1,4,1,4,4,satisfied
54,468,1,4,1,4,4,1,4,4,4,5,5,3,4,4,4,4,4,1,4,1,4,1,4,neutral or dissatisfied
17,1754,1,3,1,2,4,1,4,4,4,3,2,1,3,4,64,85,4,1,4,1,4,1,4,neutral or dissatisfied
21,774,1,4,1,2,4,1,4,4,4,4,4,5,5,4,6,4,4,1,4,1,4,1,4,neutral or dissatisfied
22,752,3,3,3,1,1,3,1,1,2,5,1,4,2,1,4,4,1,4,1,4,4,1,4,neutral or dissatisfied
33,244,2,4,4,4,2,2,2,2,2,4,4,4,3,2,4,4,1,4,1,4,4,1,4,neutral or dissatisfied
9,948,1,1,2,3,1,2,1,1,2,1,4,3,3,1,1,4,1,4,4,1,4,1,4,neutral or dissatisfied
42,1812,5,5,5,5,2,5,5,4,4,4,4,3,4,4,4,1,1,4,1,4,1,4,4,satisfied
29,1346,3,3,3,3,5,3,5,5,3,2,4,5,4,5,4,4,1,4,1,4,1,4,4,neutral or dissatisfied
37,3449,3,2,3,3,3,5,5,4,4,4,4,5,4,4,3,4,1,4,1,4,1,4,4,satisfied
28,954,3,3,3,3,5,3,5,5,5,1,2,5,5,5,4,4,1,4,1,4,4,1,4,neutral or dissatisfied
18,2457,2,2,3,2,4,4,4,4,2,5,1,4,3,4,4,4,1,4,1,4,1,4,4,satisfied
38,456,3,3,3,4,4,3,4,4,1,4,3,1,4,4,4,4,4,1,1,4,4,1,4,neutral or dissatisfied
23,434,1,2,2,2,1,1,2,1,3,5,3,3,4,1,4,39,1,4,1,4,4,4,1,neutral or dissatisfied
53,758,5,5,5,5,4,5,5,4,4,4,4,4,4,5,4,4,1,4,1,4,1,4,4,satisfied
32,1566,3,3,1,3,3,3,3,3,5,3,4,4,4,3,4,4,1,4,1,4,1,4,4,satisfied
59,3337,2,2,4,2,2,5,5,4,4,4,5,4,4,4,18,17,1,4,1,4,1,4,4,satisfied
59,1379,1,4,1,1,3,1,3,3,4,4,5,4,4,3,4,4,4,1,4,1,4,1,4,neutral or dissatisfied
33,1921,1,5,5,5,1,1,1,1,1,1,4,1,3,1,4,4,4,1,1,4,1,4,4,neutral or dissatisfied
63,182,5,5,5,5,5,5,5,5,4,2,3,3,4,5,7,2,4,1,1,4,4,1,4,satisfied
57,2454,1,1,1,1,5,5,1,3,3,4,3,5,3,5,25,14,4,1,1,4,1,4,4,satisfied
49,852,2,3,3,3,3,2,3,3,2,3,1,2,1,3,4,4,4,1,1,4,4,1,4,satisfied
13,383,1,4,1,5,1,1,1,1,4,3,4,5,4,1,25,18,1,4,4,1,4,1,4,neutral or dissatisfied
25,669,4,4,4,5,1,4,1,1,5,2,5,1,5,1,4,4,1,4,1,4,4,4,1,satisfied
64,213,2,5,2,1,5,5,5,4,4,2,4,4,4,5,58,28,1,4,4,1,4,1,4,neutral or dissatisfied
59,2227,5,5,5,5,5,4,4,4,4,4,4,3,4,5,79,43,1,4,1,4,1,4,4,satisfied
49,1873,4,4,4,4,3,4,4,5,5,5,5,5,5,3,8,6,1,4,1,4,1,4,4,satisfied
26,862,1,1,1,1,1,3,3,1,5,3,1,3,5,3,146,135,4,1,1,4,4,1,4,neutral or dissatisfied
61,253,4,3,3,3,4,4,4,4,4,5,1,1,3,4,4,4,4,1,1,4,4,4,1,satisfied
43,358,2,5,1,1,5,1,5,5,1,4,2,4,5,5,4,45,1,4,1,4,4,1,4,neutral or dissatisfied
57,341,4,4,4,4,2,4,5,4,4,4,4,3,4,5,4,4,4,1,1,4,1,4,4,satisfied
27,1171,3,3,3,4,3,3,3,3,1,1,4,3,3,3,4,4,1,4,1,4,1,4,4,neutral or dissatisfied
25,984,4,1,4,4,3,4,2,3,1,3,4,4,3,3,4,6,4,1,4,1,4,4,1,neutral or dissatisfied
39,1746,1,1,1,1,2,3,5,5,5,5,5,4,5,3,2,1,4,1,1,4,1,4,4,satisfied
45,447,1,1,4,1,5,2,4,2,2,2,2,2,2,5,4,4,1,4,1,4,1,4,4,satisfied
16,1445,1,1,1,1,1,1,1,1,4,1,4,2,3,1,4,14,4,1,1,4,4,1,4,neutral or dissatisfied
49,3319,1,1,1,1,5,5,4,5,5,5,5,3,5,4,4,4,1,4,1,4,1,4,4,satisfied
36,2342,5,3,3,3,5,5,5,4,2,3,2,5,3,5,9,24,1,4,1,4,4,1,4,satisfied
32,1121,4,3,3,3,4,4,4,4,3,3,5,1,3,4,14,14,1,4,1,4,4,1,4,satisfied
54,187,5,5,5,5,2,5,5,5,5,5,5,5,5,4,4,4,4,1,1,4,1,4,4,satisfied
57,3426,1,1,1,1,5,5,5,2,2,3,2,4,2,4,4,4,1,4,1,4,1,4,4,satisfied
32,3445,3,3,3,3,4,5,4,4,2,5,4,1,1,4,148,91,4,1,1,4,1,4,4,satisfied
18,317,4,2,4,3,3,4,3,3,2,2,3,1,3,3,68,85,1,4,4,1,4,4,1,neutral or dissatisfied
57,2818,1,1,5,1,5,5,4,4,4,5,4,4,4,5,6,4,4,1,1,4,1,4,4,satisfied
58,967,2,5,5,5,3,3,3,2,2,2,2,2,2,4,47,47,4,1,1,4,1,4,4,neutral or dissatisfied
29,541,4,4,4,4,5,4,2,5,3,3,4,4,4,5,14,31,4,1,1,4,4,1,4,neutral or dissatisfied
27,86,5,4,5,4,2,4,2,2,1,4,3,3,4,2,4,3,4,1,1,4,4,1,4,satisfied
35,151,2,2,5,5,2,2,2,2,1,1,3,3,4,2,4,4,4,1,1,4,4,1,4,neutral or dissatisfied
22,1174,2,4,2,5,4,2,4,4,4,2,3,3,4,4,4,7,4,1,4,1,4,1,4,neutral or dissatisfied
57,1412,1,4,4,4,3,4,3,3,1,3,3,1,3,3,4,3,1,4,1,4,4,1,4,neutral or dissatisfied
57,1784,4,3,3,3,2,3,2,4,4,4,4,3,4,1,4,4,1,4,1,4,1,4,4,neutral or dissatisfied
7,144,3,3,4,3,3,4,3,3,2,4,3,1,2,3,45,46,4,1,4,1,4,1,4,neutral or dissatisfied
28,779,3,3,3,3,2,3,2,2,3,4,2,4,3,2,63,62,1,4,1,4,4,1,4,neutral or dissatisfied
54,458,3,4,3,1,2,1,1,1,1,3,4,3,1,4,32,33,1,4,4,1,4,1,4,neutral or dissatisfied
21,469,4,4,4,5,1,4,1,1,3,2,4,5,5,1,4,4,4,1,1,4,4,1,4,satisfied
43,1444,4,4,4,5,4,4,4,4,3,4,4,3,5,4,19,3,4,1,1,4,1,4,4,satisfied
41,944,3,5,3,5,1,3,1,1,4,5,3,1,1,1,85,84,4,1,4,1,4,1,4,neutral or dissatisfied
23,991,3,2,2,3,2,2,2,2,3,3,4,4,5,2,4,4,1,4,1,4,4,1,4,neutral or dissatisfied
31,2981,4,4,4,4,4,4,4,4,3,1,4,1,3,4,1,6,4,1,1,4,1,4,4,neutral or dissatisfied
67,228,4,4,4,2,1,4,1,1,1,1,5,2,4,1,4,4,4,1,1,4,1,4,4,satisfied
25,651,2,4,2,3,5,2,3,5,4,4,3,3,3,5,4,4,4,1,1,4,4,1,4,neutral or dissatisfied
27,187,2,2,2,3,3,2,3,3,2,5,4,5,1,3,3,2,4,1,1,4,4,4,1,neutral or dissatisfied
37,223,3,5,4,2,4,4,4,4,3,5,5,3,5,4,4,4,4,1,4,1,4,4,1,neutral or dissatisfied
56,469,5,5,5,5,3,4,5,4,4,4,4,4,4,4,2,4,4,1,1,4,1,4,4,satisfied
38,1423,3,2,3,3,3,3,3,3,2,1,2,2,3,3,27,45,4,1,4,1,4,1,4,neutral or dissatisfied
45,1674,3,3,4,3,5,5,4,4,4,4,4,5,4,4,4,4,1,4,1,4,1,4,4,satisfied
64,152,4,5,5,5,4,4,4,4,3,5,3,1,4,4,4,4,4,1,1,4,4,1,4,neutral or dissatisfied
25,223,5,4,5,1,4,5,4,4,3,3,4,4,5,4,8,14,4,1,1,4,1,4,4,satisfied
22,594,3,4,3,3,2,3,2,2,5,4,5,3,4,2,18,25,4,1,1,4,4,1,4,neutral or dissatisfied
43,2444,5,5,5,5,4,5,4,4,2,2,5,3,4,4,4,4,4,1,1,4,4,1,4,satisfied
49,372,2,2,2,2,4,4,5,4,4,4,4,3,4,5,4,4,1,4,1,4,1,4,4,satisfied
36,3485,2,4,2,2,4,4,2,4,4,4,4,1,4,2,4,4,4,1,1,4,1,4,4,satisfied
38,722,2,3,2,3,3,1,4,5,5,2,4,5,5,3,1,16,4,1,4,1,1,4,4,neutral or dissatisfied
37,174,1,2,1,3,4,1,4,4,1,1,3,1,3,4,4,14,4,1,1,4,4,1,4,neutral or dissatisfied
54,546,1,4,1,3,2,1,2,2,4,4,5,4,1,2,4,4,1,4,1,4,4,1,4,neutral or dissatisfied
44,2586,2,3,2,3,4,2,4,4,1,1,4,2,3,4,4,17,1,4,4,1,4,1,4,neutral or dissatisfied
34,1492,2,4,2,1,3,2,3,3,5,4,5,1,3,3,66,61,1,4,4,1,4,1,4,neutral or dissatisfied
24,486,4,4,4,5,3,4,3,3,5,2,4,5,5,3,3,18,1,4,1,4,4,1,4,satisfied
22,2734,1,4,4,4,1,1,1,1,4,1,3,4,3,1,4,4,4,1,1,4,1,4,4,neutral or dissatisfied
49,442,2,2,2,2,2,2,2,2,2,1,4,2,4,2,4,4,4,1,1,4,4,1,4,neutral or dissatisfied
24,515,1,2,2,4,1,2,1,1,2,4,4,3,3,1,69,57,1,4,4,1,1,4,4,neutral or dissatisfied
22,569,1,4,4,4,3,4,3,3,1,5,3,1,3,3,4,4,1,4,1,4,1,4,4,neutral or dissatisfied
54,189,2,4,2,5,5,4,4,1,1,2,1,5,1,5,4,4,1,4,4,1,4,1,4,neutral or dissatisfied
36,377,3,3,3,3,3,3,3,3,4,2,3,1,3,3,28,7,1,4,1,4,4,1,4,neutral or dissatisfied
56,2444,4,4,4,4,5,5,4,4,4,4,4,4,4,4,2,4,1,4,1,4,1,4,4,satisfied
55,912,3,4,3,4,2,3,2,2,1,4,3,4,4,2,24,7,4,1,4,1,4,1,4,neutral or dissatisfied
23,1247,4,4,4,3,1,4,1,1,4,3,4,5,4,1,14,1,4,1,1,4,4,1,4,satisfied
49,328,4,1,1,1,4,5,2,3,3,4,3,1,3,4,4,4,1,4,1,4,4,1,4,satisfied
24,1129,3,3,3,1,5,3,5,5,4,5,5,5,5,5,4,4,1,4,1,4,4,1,4,neutral or dissatisfied
54,551,1,3,1,4,5,1,5,5,1,3,3,3,4,5,4,4,4,1,4,1,4,4,1,neutral or dissatisfied
63,391,2,3,3,3,1,3,3,2,2,2,2,3,2,1,9,4,1,4,1,4,1,4,4,neutral or dissatisfied
33,312,1,2,2,2,1,1,1,1,2,4,3,2,3,1,11,52,4,1,1,4,1,4,4,neutral or dissatisfied
46,3457,3,3,3,3,4,5,4,4,4,4,4,3,4,4,4,4,1,4,1,4,1,4,4,satisfied
21,829,5,4,5,2,4,5,4,4,5,5,4,4,5,4,4,1,1,4,1,4,1,4,4,satisfied
77,2353,5,5,5,5,2,1,4,4,4,4,4,2,4,4,4,4,1,4,1,4,1,4,4,satisfied
52,1217,4,4,4,4,2,5,5,3,3,4,3,5,3,3,4,4,4,1,1,4,1,4,4,satisfied
56,1944,1,1,2,1,2,4,4,1,1,2,1,2,1,3,1,4,4,1,1,4,1,4,4,neutral or dissatisfied
63,1166,2,4,2,2,3,5,4,1,1,2,1,4,1,5,147,87,1,4,4,1,4,1,4,neutral or dissatisfied
31,1248,3,2,3,3,4,3,1,4,3,4,2,1,3,4,35,8,4,1,4,1,4,1,4,neutral or dissatisfied
24,143,4,4,4,3,2,4,2,2,1,2,3,2,4,2,4,26,1,4,1,4,4,1,4,neutral or dissatisfied
38,2454,2,3,3,3,2,3,3,2,2,2,2,2,2,1,4,4,1,4,1,4,1,4,4,neutral or dissatisfied
44,266,4,2,4,3,4,4,4,4,2,4,3,2,3,4,4,4,1,4,1,4,4,1,4,satisfied
47,1944,2,2,2,2,4,5,4,2,2,2,2,3,2,5,14,4,4,1,1,4,1,4,4,satisfied
49,3651,3,3,3,3,5,5,5,4,4,4,4,3,4,3,4,4,4,1,1,4,1,4,4,satisfied
44,2176,1,1,2,1,4,3,5,4,4,4,4,3,4,3,43,31,1,4,1,4,1,4,4,satisfied
41,1532,4,4,4,4,4,5,5,4,4,4,4,4,4,3,4,4,1,4,1,4,1,4,4,satisfied
57,2276,3,5,3,2,4,3,4,4,4,4,3,5,5,4,4,4,4,1,4,1,4,1,4,neutral or dissatisfied
38,1569,2,5,5,5,5,3,4,2,2,3,2,2,2,2,4,2,1,4,1,4,1,4,4,neutral or dissatisfied
59,642,2,4,2,2,3,4,4,4,4,2,5,5,4,5,4,4,1,4,4,1,4,1,4,neutral or dissatisfied
34,3438,3,3,3,3,3,3,3,3,5,3,5,4,5,3,1,4,1,4,1,4,1,4,4,satisfied
8,542,2,3,2,3,2,2,3,2,1,3,3,1,4,2,4,4,1,4,4,1,4,1,4,neutral or dissatisfied
14,684,1,1,1,1,5,5,5,5,4,4,4,5,5,5,81,148,1,4,1,4,1,4,4,satisfied
61,1649,3,4,3,3,1,3,1,1,5,3,5,4,5,1,4,4,4,1,4,1,4,1,4,neutral or dissatisfied
